course_id,course_title,course_code,dept_id,Syllabus_year
1,Physics Primers,1B01PHY,11,2014
2,Electronics-I,2B02PHY,11,2014
3,Allied Physics,3B03PHY,11,2014
4,Optics,4B04PHY,11,2014
5,Practical 1,4B05PHY,11,2014
6,Practical 1,4B05PHY,11,2014
7,Practical 1,4B05PHY,11,2014
8,Practical 1,4B05PHY,11,2014
9,Electrodynamics-I ,5B06PHY,11,2014
10,Thermal Physics,5B07PHY,11,2014
11,Classical Mechanics & Relativity,5B08PHY,11,2014
12,Python Programming,5B09PHY,11,2014
13,"Atomic, Nuclear and  Particle Physics",5B10PHY,11,2014
14,Electrodynamics- II,6B11PHY,11,2014
15,Photonics & Spectroscopy,6B12PHY,11,2014
16,Quantum Mechanics,6B13PHY,11,2014
17,Electronics-II,6B14PHY,11,2014
18,Plasma Physics,6B15PHY(A),11,2014
19,Astronomy & Astrophysics,6B15PHY(B),11,2014
20,Atmospheric Physics,6B15PHY(C),11,2014
21,Nanoscience,6B15PHY(D),11,2014
22,Material Science,6B15PHY(E),11,2014
23,Computational Physics,6B15PHY(F),11,2014
24,Practical 2,6B16PHY,11,2014
25,Practical 2,6B16PHY,11,2014
26,Practical 2 & 3,6B16/17PHY,11,2014
27,Practical 3,6B17PHY,11,2014
28,Project,6B18PHY,11,2014
29,Complementary Physics I (Mechanics),1C01PHY,11,2014
30,"Complementary Physics II (Electricity, Magnetism and Thermal Physics)",2C02PHY,11,2014
31,Complementary Physics III (Optics and Photonics),3C03PHY,11,2014
32,Complementary Physics IV (Modern Physics and Electronics),4C04PHY,11,2014
33,Complementary Physics Practical,4C05PHY,11,2014
34,Complementary Physics Practical,4C05PHY,11,2014
35,Complementary Physics Practical,4C05PHY,11,2014
36,Complementary Physics Practical,4C05PHY,11,2014
37,Environmental Physics,5D01PHY(A),11,2014
38,Joy of Star Watching,5D01PHY(B),11,2014
39,Disaster Management,5D01PHY(C),11,2014
40,Biophysics,5D01PHY(D),11,2014
41,Fundamentals of Computers & Programming Languages,1C01CSC,9,2014
42,Programming in C,2C02CSC,9,2014
43,Database Management System,3C03CSC,9,2014
44,Visual Programming,4C04CSC,9,2014
45,"Lab-I (C Programming, DBMS & Visual Basic)",4C05CSC,9,2014
46,"Lab-I (C Programming, DBMS & Visual Basic)",4C05CSC,9,2014
47,"Lab-I (C Programming, DBMS & Visual Basic)",4C05CSC,9,2014
48,"Lab-I (C Programming, DBMS & Visual Basic)",4C05CSC,9,2014
49,COMN - Kavitha Aur Kahani,1A07HIN,3,2014
50,COMN - Vyakaran Tatha Rachana,2A08HIN,3,2014
51,COMN - Gadya Ke Vividh Roop,3A09HIN,3,2014
52,COMN - Natak Aur Upanyas,4A10HIN,3,2014
53,COMN - Srujanatmak Sahitya,1A07-1HIN,3,2014
54,COMN - Sampreshaneey Hindi,2A08-1HIN,3,2014
55,COMN - Aadhunik Sahitya,1A07-2HIN,3,2014
56,COMN - Vyavaharik Hindi,2A08-2HIN,3,2014
57,Differential Calculus,1B01MAT,10,2014
58,Integral Calculus,2B02MAT,10,2014
59,Elements of Mathematics I,3B03MAT,10,2014
60,Elements of Mathematics II,4B04MAT,10,2014
61,Real Analysis,5B05MAT,10,2014
62,Abstract Algebra,5B06MAT,10,2014
63,"Differential Equations,Laplace Transform and Fourier Series",5B07MAT,10,2014
64,Vector Calculus,5B08MAT,10,2014
65,Graph Theory,5B09MAT,10,2014
66,Linear Algebra,6B10MAT,10,2014
67,Numerical Methods and Partial Differential Equations,6B11MAT,10,2014
68,Complex Analysis,6B12MAT,10,2014
69,Mathematical Analysis and Topology,6B13MAT,10,2014
70,Operations Research,6B14AMAT,10,2014
71,Mathematical Economics,6B14BMAT,10,2014
72,Classical Mechanics,6B14CMAT,10,2014
73,Programming in Python,6B14DMAT,10,2014
74,Project,6B15MAT,10,2014
75,Business Mathematics,5D01MAT,10,2014
76,Astronomy,5D02MAT,10,2014
77,Quantitative Arithmetic and Reasoning,5D03MAT,10,2014
78,Linear Programming,5D04MAT,10,2014
79,Mathematics for Physics and Electronics I,1C01MAT-PH,10,2014
80,Mathematics for Physics and Electronics II,2C02MAT-PH,10,2014
81,Mathematics for Physics and Electronics III,3C03MAT-PH,10,2014
82,Mathematics for Physics and Electronics IV,4C04MAT-PH,10,2014
83,Mathematics for Chemistry I,1C01MAT-CH,10,2014
84,Mathematics for Chemistry II,2C02MAT-CH,10,2014
85,Mathematics for Chemistry III,3C03MAT-CH,10,2014
86,Mathematics for Chemistry IV,4C04MAT-CH,10,2014
87,Mathematics for Statistics I,1C01MAT-ST,10,2014
88,Mathematics for Statistics II,2C02MAT-ST,10,2014
89,Mathematics for Statistics III,3C03MAT-ST,10,2014
90,Mathematics for Statistics IV,4C04MAT-ST,10,2014
91,Descriptive Statistics,1B01STA,12,2014
92,Probability Theory,2B02STA,12,2014
93,Probablity Distributions,3B03STA,12,2014
